id,category,prompt,option_a,option_b,option_c,option_d,option_e,correct_index,explanation,difficulty
q-01-06-1,m01-lernregeln-der-app,Wann gilt eine Frage in dieser Lernapp als abgeschlossen?,Sobald die Frage nur angesehen wurde.,Nach einmal falsch beantworten.,Nach dem Ueberspringen ohne Antwort.,Automatisch nach dem Oeffnen der Kategorie.,Nach mindestens einmal beantworten und zweimal hintereinander richtig loesen.,4,Wie bei Fuehrerschein-Apps zaehlt echte Sicherheit durch wiederholtes korrektes Loesen.,2
q-01-06-2,m01-lernregeln-der-app,Wie solltest du Defizite in der App am sinnvollsten bearbeiten?,Schwierige Fragen dauerhaft ausblenden.,Ohne Kategoriebezug zufaellig lernen.,Nach einem Fehler sofort das Thema wechseln.,Fehler je Kategorie auswerten und gezielt wiederholen.,Nur bereits richtige Fragen trainieren.,3,Kategoriebezogenes Wiederholen macht Luecken sichtbar und verbessert Pruefungsvorbereitung.,2
q-01-07-1,m01-rechte-des-azubis,Welches Recht hat ein Auszubildender in der Berufsschule?,Sicherheitsregeln nach Belieben zu ignorieren.,Ohne Grund die Ausbildung jederzeit zu beenden ohne Folgen.,Keinen Anspruch auf Unterweisung in Fachinhalten.,Anspruch auf sorgfaeltige Ausbildung entsprechend Ausbildungsvertrag und Rahmenlehrplan.,Frei von jeder Berichtsheftfuehrung zu sein.,3,Azubis haben Anspruch auf qualifizierte Ausbildung in Betrieb und Berufsschule.,2
q-01-07-2,m01-rechte-des-azubis,Welches Recht betrifft die Verguetung in der Ausbildung?,Freiwillige Spende statt feste Verguetung.,Verguetung nur in den Ferienmonaten.,Anspruch auf Ausbildungsverguetung gemaess Tarif oder Mindestverguetung.,Keine Verguetung waehrend der gesamten Ausbildung.,Verguetung nur nach bestandener Abschlusspruefung.,2,Auszubildende erhalten eine gesetzlich geregelte Ausbildungsverguetung.,2
q-01-08-1,m01-pflichten-des-azubis,Welche Pflicht hat ein Auszubildender gegenueber dem Ausbildungsbetrieb?,Das Berichtsheft nie fuehren.,Arbeitsmittel unsachgemaess behandeln.,Lern- und Arbeitsaufgaben sorgfaeltig ausfuehren und Anweisungen befolgen.,Betriebsgeheimnisse an Wettbewerber weitergeben.,Sicherheitsregeln bewusst umgehen.,2,"Pflichten umfassen sorgfaeltiges Lernen, Treue, Puenktlichkeit und Sicherheitsvorschriften.",2
q-01-08-2,m01-pflichten-des-azubis,Was gehoert zu den Pflichten eines Azubis im Produktionsbetrieb?,Unterweisungen ohne Teilnahme ersetzen.,Persoenliche Schutzausruestung tragen und Gefahren melden.,Schutzeinrichtungen absichtlich ueberbruecken.,Schaeden an Maschinen verschweigen.,Arbeitsplaetze unaufgeraeumt verlassen ohne Meldung.,1,"Sicherheit, Sorgfalt und Meldepflicht sind zentrale Pflichten im Betrieb.",2
q-01-09-1,m01-schwerpunkt-metall-kunststoff,Was kennzeichnet den Schwerpunkt Metall/Kunststofftechnik beim MAF?,Ausschliesslich Holzbearbeitung im Handwerk.,Bearbeitung metallischer und kunststoffbasierter Werkstuecke auf Maschinen und Anlagen.,Ausschliesslich Buero- und Verwaltungsaufgaben.,Nur Lebensmittelverarbeitung ohne Maschinen.,Nur Softwareentwicklung ohne Fertigung.,1,"Der Schwerpunkt umfasst spanende und umformende Verfahren, Werkstoffe und Qualitaetssicherung.",2
q-01-09-2,m01-schwerpunkt-metall-kunststoff,Welches Lernfeld gehoert typisch zum Schwerpunkt Metall/Kunststofftechnik?,"Werkstoffe, Fertigungstechnik, Pneumatik und Qualitaetspruefung.",Nur Fremdsprachen ohne Technik.,Ausschliesslich Marketing und Vertrieb.,Nur Gaertnerische Pflanzenkunde.,Keine praktische Maschinenarbeit.,0,"Metall/Kunststofftechnik verbindet Werkstoffkunde, Fertigung und Anlagenbedienung.",2
q-01-10-1,m01-pruefungsvorbereitung-einstieg,Wie lange dauert die Ausbildung zum MAF gemaess Ausbildungsordnung?,6 Monate ohne Pruefung.,36 Monate ohne Zwischenpruefung.,12 Monate mit sofortigem Meisterbrief.,48 Monate als reine Berufsschulzeit.,24 Monate mit Zwischen- und Abschlusspruefung.,4,Die MAF-Ausbildung dauert 24 Monate; die Zwischenpruefung erfolgt nach dem ersten Jahr.,2
q-01-10-2,m01-pruefungsvorbereitung-einstieg,Was ist ein sinnvoller Einstieg in die Pruefungsvorbereitung?,Alle Themen ohne Struktur mischen.,Technische Unterlagen dauerhaft ignorieren.,Sicherheitsregeln aus der Vorbereitung ausklammern.,Lernziele je Monat wiederholen und pruefungsnahe Aufgaben nach Kategorien trainieren.,Nur am letzten Tag vor der Pruefung lernen.,3,Strukturierte Wiederholung nach Monats- und Pruefungskategorien sichert Pruefungsreife.,2
q-02-01-1,m02-arbeitsschutz,Was ist das Ziel des Arbeitsschutzes in der Fertigung?,Schutzmassnahmen erst nach Unfaellen einfuehren.,PSA nur freiwillig bei Laune tragen.,Gefaehrdungsbeurteilungen dauerhaft ignorieren.,Gefahren vermeiden und Gesundheit der Beschaeftigten schuetzen.,Produktion ohne jede Vorgabe maximieren.,3,"Arbeitsschutz umfasst Praevention, Beurteilung von Gefaehrdungen und Schutzmassnahmen.",2
q-02-01-2,m02-arbeitsschutz,Wer ist im Betrieb fuer den Arbeitsschutz mitverantwortlich?,Nur die Hausverwaltung des Gebaeudes.,Niemand im Betrieb selbst.,"Arbeitgeber, Fuehrungskraefte und jeder Beschaeftigte nach seinen Moeglichkeiten.",Nur die Berufsgenossenschaft ohne Beteiligung.,Ausschliesslich der Azubi allein.,2,Arbeitsschutz ist Aufgabe aller Beteiligten; jeder muss mitwirken und Regeln einhalten.,2
q-02-02-1,m02-brandschutz,Welche Massnahme gehoert zum vorbeugenden Brandschutz?,Feuerloescher nicht pruefen.,Rauchmelder absichtlich deaktivieren.,Heissarbeiten nur mit Erlaubnisschein und Feuerwache durchfuehren.,Brennbare Fluessigkeiten offen neben Funkenquellen lagern.,Fluchtwege mit Material stellen.,2,Brandschutz verhindert Entstehungsbraende und sichert Rettungswege.,2
q-02-02-2,m02-brandschutz,Was ist bei einem Brand in der Werkstatt zuerst zu tun?,Weiterarbeiten bis Rauch sichtbar wird.,Personen in Sicherheit bringen und Alarm ausloesen.,"Erst Material retten, dann melden.",Tueren zu allen Raeumen abschliessen und warten.,Brand mit Wasser loeschen ohne Lagebeurteilung.,1,Menschenrettung und Alarm haben Vorrang; dann gezielt loeschen wenn moeglich.,2
q-02-03-1,m02-gefahrstoffe,Was kennzeichnet einen Gefahrstoff im Betrieb?,Sicherheitsdatenblatt ist optional.,Er kann Gesundheit oder Umwelt gefaehrden und muss gekennzeichnet werden.,Er riecht immer nach Zitrone.,Er ist nur in Fluessigform gefaehrlich.,Kennzeichnung ist freiwillig.,1,"Gefahrstoffe haben Kennzeichnung, SDB und besondere Lager- und Entsorgungsregeln.",2
q-02-03-2,m02-gefahrstoffe,Wo findest du Informationen zu Schutzmassnahmen bei Kuehlmitteln?,Im Sicherheitsdatenblatt und in der Betriebsanweisung.,Nur in sozialen Medien.,In der Kantinenkarte.,"Nirgends, man probiert aus.",Ausschliesslich im Berichtsheft des Azubis.,0,"SDB und Betriebsanweisungen geben Schutz-, Lager- und Erste-Hilfe-Hinweise.",2
q-02-04-1,m02-entsorgung,Wie muessen oelhaltige Reinigungstuecher aus der Werkstatt entsorgt werden?,Als problematische Abfaelle getrennt in dafuer vorgesehene Behaelter.,Im Papierkorb der Kantine.,Unbegrenzt auf dem Werksgelände verbrennen.,In den Abfluss spuelen.,Mit Metallspaenen vermischen und wegwerfen.,0,Fett- und oelhaltige Abfaelle gehoeren in getrennte Entsorgung gemaess Betriebsvorgabe.,2
q-02-04-2,m02-entsorgung,Warum ist getrennte Entsorgung von Metallspaenen und Kuehlmittelresten wichtig?,Nur wegen der Farbe der Behaelter.,Weil es schneller aussieht.,Weil Recycling grundsaetzlich verboten ist.,Weil Abfaelle im Betrieb nicht entstehen duerfen.,Zum Schutz von Umwelt und zur Einhaltung gesetzlicher Vorschriften.,4,Fachgerechte Entsorgung verhindert Umweltbelastung und ermoeglicht Recycling.,2
q-02-05-1,m02-unfallverhalten,Was ist nach einem Arbeitsunfall mit Verletzung zuerst zu tun?,Weiterarbeiten und spaeter Bescheid sagen.,Nur das Werkstueck retten.,Unfall geheim halten.,Maschine ohne Pruefung sofort wieder starten.,Erste Hilfe leisten und den Unfall melden.,4,"Erste Hilfe, Absicherung der Unfallstelle und Meldung sind Pflicht.",2
q-02-05-2,m02-unfallverhalten,Warum muss ein Beinahe-Unfall dokumentiert werden?,Weil es die Produktion verlangsamt.,Weil Azubis extra bestraft werden.,Weil Beinahe-Unfaelle irrelevant sind.,Um Gefahrenquellen zu beseitigen bevor ein schwerer Unfall entsteht.,Nur fuer Statistik ohne Massnahmen.,3,Beinahe-Unfaelle zeigen Schwachstellen im Arbeitsschutz und muessen abgestellt werden.,2
q-02-06-1,m02-umweltschutz,Was gehoert zum umweltgerechten Handeln in der Produktion?,Energie ohne Bedarf verschwenden.,Laermquellen absichtlich erhoehen.,Entsorgungsvorschriften ignorieren.,Stoffe sparsam einsetzen und Abfaelle getrennt sammeln.,Kuehlmittel unbegrenzt in den Boden laufen lassen.,3,Umweltschutz im Betrieb bedeutet sparsamer Umgang mit Stoffen und Energie.,2
q-02-06-2,m02-umweltschutz,Welche Massnahme spart Ressourcen bei der Metallbearbeitung?,Kuehlmittel nicht filtern und sofort entsorgen.,Maschinen im Leerlauf laufen lassen.,Materialbedarf planen und Verschnitt minimieren.,Immer groessere Rohlinge ohne Planung verwenden.,Mehrfach nachbearbeiten wegen Fehlplanung.,2,Planung und saubere Prozesse reduzieren Material- und Energieverbrauch.,2
q-02-07-1,m02-persoenliche-schutzausruestung,Wann musst du persoenliche Schutzausruestung (PSA) tragen?,Nur wenn es modisch aussieht.,Nie in der Metallwerkstatt.,Wenn die Gefaehrdungsbeurteilung oder Betriebsanweisung es vorschreibt.,Nur bei Besuch der Geschaeftsfuehrung.,Erst nach einem Unfall.,2,"PSA wie Schutzbrille, Gehoerschutz oder Sicherheitsschuhe schuetzt vor typischen Gefahren.",2
q-02-07-2,m02-persoenliche-schutzausruestung,Welche PSA ist beim Laerm an einer Fraesmaschine typisch?,Keine Schutzmassnahme noetig.,Gehoerschutz oder kapselgekapselte Gehoerschuetzer.,Nur Sonnenbrille.,Offene Sandalen.,Baumwollhandschuhe ohne weiteren Schutz.,1,Laerm kann Hoerschaeden verursachen; Gehoerschutz ist dann Pflicht.,2
q-02-08-1,m02-gefahrenkennung,Welches Symbol weist auf elektrische Spannung hin?,Parkplatz-Symbol.,Gefahr durch elektrischen Strom (Blitzpfeil).,Biohazard-Symbol fuer Biostoffe.,Recycling-Symbol fuer Papier.,Feuerloescher-Symbol allein.,1,Warnzeichen fuer elektrische Spannung weisen auf Stromschlaggefahr hin.,2
q-02-08-2,m02-gefahrenkennung,Was deutet auf eine Quetschgefahr an einer Presse hin?,Warnung vor beweglichen Maschinenteilen und fehlende Schutzeinrichtung.,Gruene Beleuchtung allein.,Sauberer Arbeitsplatz ohne Bedeutung.,Nur hohe Raumtemperatur.,Vorhandensein von Werkzeugkoffer.,0,"Bewegliche Teile, Einzugsstellen und fehlende Schutzeinrichtungen sind Quetschgefahren.",2
q-02-09-1,m02-notfallmassnahmen,Was gehoert zu Notfallmassnahmen im Betrieb?,"Ersthelfer, Notrufnummern und Fluchtwege kennen.",Notfallplaene nie lesen.,Feuerloescher verstecken.,Ersthelfer ersetzen durch Azubis ohne Unterweisung.,Fluchtwege als Lager nutzen.,0,"Notfallvorbereitung umfasst Kenntnis von Fluchtwegen, Meldestellen und Ersthelfern.",2
q-02-09-2,m02-notfallmassnahmen,Wen rufst du bei einem schweren Unfall in Deutschland zuerst an?,Die Wetterhotline.,Den Lieferanten von Werkzeugen.,Nur die Kollegen per Chat.,Die Steuerberatung.,Den Notruf 112 fuer Rettungsdienst und ggf. Feuerwehr.,4,112 ist der europaeische Notruf fuer medizinische und brandbedingte Notfaelle.,2
q-02-10-1,m02-pruefungsaufgaben-shu,"Welche Aussage zu Sicherheit, Gesundheit und Umweltschutz (SHU) ist pruefungsrelevant?",SHU kann nach bestandener ZP ignoriert werden.,SHU betrifft nur die Geschaeftsfuehrung.,SHU ersetzt Fachwissen vollstaendig.,SHU-Regeln gelten vor jeder produktiven Taetigkeit und bei Stoerungen.,SHU gilt nur in der Berufsschule.,3,SHU ist Grundlage sicherer Arbeit und wird in Pruefungen regelmaessig abgefragt.,2
q-02-10-2,m02-pruefungsaufgaben-shu,Wie bearbeitest du eine PAL-Frage zum Thema Gefahrstoffe am sinnvollsten?,Nur nach Bauchgefuehl ohne Lesen.,Zeichnungen und Symbole ignorieren.,"Kennzeichnung, Schutz und Entsorgung fachlich zuordnen und eine Antwort markieren.",Die laengste Antwort immer waehlen.,Alle Antworten ankreuzen.,2,"Bei SHU-Fragen zaehlen korrekte Zuordnung von Gefahren, Schutz und Verhalten.",2
q-03-01-1,m03-stahl-und-ne-metalle,Was kennzeichnet unlegierte Staehle?,Sie koennen nicht spanend bearbeitet werden.,Sie enthalten keinen Kohlenstoff.,Sie enthalten vor allem Eisen und Kohlenstoff ohne wesentliche Legierungselemente.,Sie bestehen ausschliesslich aus Aluminium.,Sie sind immer nicht magnetisch.,2,Baustaehle sind typische unlegierte Staehle fuer allgemeine Fertigung.,2
q-03-01-2,m03-stahl-und-ne-metalle,Welches NE-Metall ist wegen geringem Gewicht oft im Leichtbau?,Kupfer als Kunststoff.,Aluminium.,Blei als Leichtmetall.,Gold fuer Maschinenbau.,Reines Eisen als NE-Metall.,1,Aluminium gehoert zu den NE-Metallen und wird wegen Leichtigkeit eingesetzt.,2
q-03-02-1,m03-kunststoffarten,Was ist ein Thermoplast?,Ein Kuehlmittel auf Wasserbasis.,"Ein Kunststoff, der bei Erwaermung wieder verformbar wird.","Ein Kunststoff, der nach Erwaermung nicht mehr verformbar ist.",Ein reiner Metallwerkstoff.,Ein Schmiermittel.,1,Thermoplaste wie PA oder PE koennen wiederholt aufgeschmolzen werden.,2
q-03-02-2,m03-kunststoffarten,Welcher Kunststoff ist typisch fuer technische Formteile mit hoher Festigkeit?,Polyamid (PA).,Pappe.,Beton.,Gips.,Holzspan ohne Bindemittel.,0,PA wird wegen Festigkeit und Verschleissfestigkeit in Technikteilen eingesetzt.,2
q-03-03-1,m03-schmier--und-kuehlmittel,Wozu dient Schmierstoff an einer Werkzeugmaschine?,Reibung verringern und Verschleiss reduzieren.,Maschine absichtlich ueberhitzen.,Span nur optisch einfaerben.,Elektrische Spannung erhoehen.,Werkstueck ohne Spannung einspannen.,0,"Schmierstoffe schuetzen Fuehrungen, Lager und Getriebe vor Verschleiss.",2
q-03-03-2,m03-schmier--und-kuehlmittel,Welche Aufgabe hat Kuehlmittel beim Fraesen?,Werkzeug haerten.,Maschine elektrisch isolieren.,Toleranzen automatisch einhalten.,Schutzeinrichtungen ersetzen.,Waerme abfuehren und Span transportieren.,4,Kuehlmittel kuehlt Schnittstelle und verbessert Oberflaeche und Standzeit.,2
q-03-04-1,m03-lagerung-und-kennzeichnung,Wie muessen Gefahrstoffe im Betrieb gelagert werden?,Offen neben Maschinen ohne Deckel.,Mit Lebensmitteln im Kuehlschrank.,Unbegrenzt in der Sonne.,Ohne Beschriftung im Gang.,"Gemaess Kennzeichnung, SDB und Betriebsvorgabe in geeigneten Behaeltern.",4,"Lagerung muss Undichtigkeiten, Entzuendung und Verwechslung verhindern.",2
q-03-04-2,m03-lagerung-und-kennzeichnung,Was gehoert zur Kennzeichnung von Betriebsstoffen?,Ausschliesslich das Gewicht.,Keine Angaben noetig.,Nur das Verfallsdatum von Lebensmitteln.,"Produktname, Gefahrenpiktogramme und Herstellerangaben.",Nur die Farbe des Behaelters.,3,Kennzeichnung ermoeglicht sicheren Umgang und richtige Entsorgung.,2
q-03-05-1,m03-werkstoffeigenschaften,Was beschreibt die Haerte eines Werkstoffs?,Preis pro Kilogramm.,Magnetisierbarkeit allein.,Geruch beim Schneiden.,Widerstand gegen Eindringen eines anderen Koerpers.,Farbe der Oberflaeche.,3,Haerte beeinflusst Bearbeitbarkeit und Verschleissverhalten.,2
q-03-05-2,m03-werkstoffeigenschaften,Warum ist Zaehigkeit wichtig bei Metallbauteilen?,Sie macht Messen ueberfluessig.,Sie gilt nur fuer Kunststoffe.,Sie bestimmt das Verhalten bei ploetzlicher Belastung ohne Sproedbruch.,Sie legt die Farbe fest.,Sie ersetzt Toleranzpruefung.,2,Zaehigkeit beschreibt Bruchverhalten unter Schlag- oder Biegebelastung.,2
q-03-06-1,m03-betriebsstoffe-sicher-nutzen,Was ist vor dem Wechsel eines Kuehlmittels zu pruefen?,Ob es billiger als Wasser ist.,"Nichts, Mischen ist immer erlaubt.","Betriebsanweisung, Vertraeglichkeit und Entsorgungsvorschriften.",Nur die Lieblingsfarbe.,Ob Kollegen es trinken wuerden.,2,Kuehlmittel muessen zur Maschine passen und sicher entsorgt werden.,2
q-03-06-2,m03-betriebsstoffe-sicher-nutzen,Wie verhinderst du Hautreizungen durch Oele und Emulsionen?,Schutzhandschuhe nie wechseln.,"PSA tragen, Hautschutz nutzen und Haende nach Arbeitsende reinigen.",Stoffe auf der Haut trocknen lassen.,Ohne Handschuhe dauerhaft arbeiten.,Kuehlmittel als Lotion verwenden.,1,Chemische Betriebsstoffe erfordern Hautschutz und hygienisches Verhalten.,2
q-03-07-1,m03-materialauswahl,Wann waahlst du Aluminium statt Stahl fuer ein Bauteil?,Nur wegen niedrigerer Haerte allein.,Wenn geringes Gewicht und Korrosionsbestaendigkeit gefordert sind.,Wenn maximaler Verschleiss ohne Schutz noetig ist.,Wenn das Bauteil magnetisch sein muss.,Immer ohne technische Begruendung.,1,"Materialauswahl folgt aus Anforderungen an Gewicht, Festigkeit und Korrosion.",2
q-03-07-2,m03-materialauswahl,Welcher Faktor spricht gegen Kunststoff bei hoher Temperatur im Dauerbetrieb?,Thermoplastische Kunststoffe koennen weich werden oder verformen.,Kunststoffe sind immer hitzebestaendig bis 1000 Grad.,Metalle werden bei Waerme weicher als PE.,Temperatur spielt keine Rolle.,Kunststoffe leiten Waerme immer besser als Kupfer.,0,Temperaturgrenzen und Medienbestaendigkeit muessen bei Kunststoffen beachtet werden.,2
q-03-08-1,m03-recycling-und-entsorgung,Warum werden Metallspaene getrennt gesammelt?,Zum Recycling und zur Vermeidung von Fremdstoffbelastung.,Weil sie unsichtbar sind.,Weil Entsorgung verboten ist.,Weil sie immer gefaehrlich sind wie Saeure.,Weil sie nur im Buero entsorgt werden duerfen.,0,Saubere Trennung erhoeht Recyclingquote und senkt Entsorgungskosten.,2
q-03-08-2,m03-recycling-und-entsorgung,Wie entsorgst du kontaminierte Putzlappen mit Oel?,Im Restmuell ohne Beachtung.,Auf dem Parkplatz verbrennen.,Im Kuehlmittelbehaelter.,Mit Edelmetallen vermischen.,In den dafuer vorgesehenen Sondermuell- oder Altpapierbehaeltern gemaess Vorgabe.,4,Kontaminierte Hilfsstoffe sind problematische Abfaelle mit Sonderregeln.,2
q-03-09-1,m03-werkstoffpruefung,Wofuer dient eine Haertepruefung nach Rockwell?,Farbe von Kunststoffen zu messen.,Laenge ohne Werkzeug zu schaetzen.,Gewicht von Fluessigkeiten.,Spannung an Ventilen.,Haerte von Metallen mit definierter Pruefkraft zu bestimmen.,4,Haertepruefungen liefern vergleichbare Werte fuer Werkstoffeigenschaften.,2
q-03-09-2,m03-werkstoffpruefung,Was ist bei einer Zugprobe das typische Ergebnis?,Die elektrische Leitfaehigkeit allein.,Die Farbtemperatur der Maschine.,Die Pneumatikdruckkurve.,Festigkeit und Dehnung des Werkstoffs bis zum Bruch.,Nur die Oberflaechenrauheit.,3,"Zugversuche zeigen Streckgrenze, Zugfestigkeit und Bruchdehnung.",2
q-03-10-1,m03-pruefungsaufgaben-werkstoffe,Welche Frage zu Werkstoffen ist typisch in Pruefungsaufgaben?,Kunststoffe nie von Metallen unterscheiden.,Betriebsstoffe ignorieren.,Werkstoff anhand Eigenschaft und Verwendung zuordnen.,Werkstoff nur nach Farbe waehlen.,Alle Metalle als gleich behandeln.,2,"Pruefungen testen Zuordnung von Werkstoff, Verfahren und Anwendung.",2
q-03-10-2,m03-pruefungsaufgaben-werkstoffe,Wie erkennst du in einer MC-Frage den richtigen Schmierstoff?,Viskosaet ist irrelevant.,"Anwendung, Viskosaet und Herstellerangabe zur Maschine passend zuordnen.",Immer das teuerste Produkt waehlen.,Schmierstoff durch Kuehlmittel ersetzen.,Nur nach Geruch entscheiden.,1,Schmierstoffwahl folgt aus Maschinendokumentation und Einsatzbedingungen.,2
q-04-01-1,m04-technische-zeichnung,Was liefert eine technische Zeichnung fuer die Fertigung?,Nur Marketingtexte.,"Masse, Form, Toleranzen und Bearbeitungshinweise.",Nur den Verkaufspreis.,Ausschliesslich Urlaubsplan.,Keine Informationen zu Toleranzen.,1,Zeichnungen sind verbindliche Arbeitsgrundlage fuer Herstellung und Pruefung.,2
q-04-01-2,m04-technische-zeichnung,Welche Ansicht zeigt ein Bauteil von vorne?,Frontansicht gemaess Projektionsregeln.,Isometrie als einzige Regelansicht.,Schnitt ohne Bezugslinie.,Beliebige Skizze ohne Massangaben.,Nur 3D-Rendering ohne Masse.,0,Normgerechte Ansichten ermoeglichen eindeutige Mass- und Formangaben.,2
q-04-02-1,m04-symbole-und-normen,Was bedeutet das Symbol fuer Oberflaechenrauheit Ra?,Arithmetischer Mittelwert der Rauheit in Mikrometern.,Radius in Millimeter.,Rockwell-Haerte.,Drehzahl der Maschine.,Druck in bar.,0,Ra beschreibt die gemittelte Rauheit einer Oberflaeche.,2
q-04-02-2,m04-symbole-und-normen,Welche Normen sind in der technischen Kommunikation wichtig?,Nur Kochrezepte.,Keine Normen in der Industrie.,Ausschliesslich Sportregeln.,Nur Social-Media-Richtlinien.,"DIN/ISO-Normen fuer Zeichnungen, Toleranzen und Symbole.",4,Normen sichern einheitliche Darstellung und Verstaendnis im Betrieb.,2
q-04-03-1,m04-tabellenbuch,Wofuer nutzt du ein Tabellenbuch in der Ausbildung?,Als Ersatz fuer Berichtsheft.,Nur fuer Freizeit-Lesestoff.,Zum Loeschen von Maschinendaten.,Als Schutzhandschuh.,"Normwerte, Formeln und technische Daten nachschlagen.",4,"Tabellenbuecher enthalten z. B. Gewinde, Toleranzen und Festigkeitswerte.",2
q-04-03-2,m04-tabellenbuch,Wo findest du Gewindetabellen fuer metrisches ISO-Gewinde?,In der Wetter-App.,"Nirgends, man schaetzt.",Ausschliesslich im Telefonbuch.,Im Tabellenbuch oder in der Norm-Dokumentation.,Nur in der Kantinenkarte.,3,Gewindedaten sind standardisiert und in Tabellenwerken hinterlegt.,2
