slug,month,position,title,subtitle,goals,estimated_minutes
werkstoffeigenschaften,3,5,Werkstoffeigenschaften,Mechanische Werkstoffeigenschaften,"Festigkeit, Haerte, Zaehigkeit erklaeren. | Spannungs-Dehnungs-Diagramm deuten. | Eigenschaften fuer Anwendung waehlen.",12
betriebsstoffe-sicher-nutzen,3,6,Betriebsstoffe sicher nutzen,Betriebsstoffe sicher nutzen,Gefahrstoffe identifizieren. | Schutzmassnahmen anwenden. | Wechsel dokumentieren.,12
materialauswahl,3,7,Materialauswahl,Werkstoff passend zum Einsatz waehlen,Anforderungen analysieren. | Werkstoff alternativen vergleichen. | Kosten und Verfuegbarkeit einbeziehen.,12
recycling-und-entsorgung,3,8,Recycling und Entsorgung,Recycling und umweltgerechte Entsorgung,Materialkreislauf erklaeren. | Trennung im Betrieb. | Gesetzliche Vorgaben kennen.,12
werkstoffpruefung,3,9,Werkstoffpruefung,Einfache Werkstoffpruefungen,"Magnet-, Spark-, Saegetest kennen. | Haertepruefung einordnen. | Pruefergebnis dokumentieren.",12
pruefungsaufgaben-werkstoffe,3,10,Pruefungsaufgaben Werkstoffe,Werkstoffkunde pruefungsreif wiederholen,Thermo-/Duroplast unterscheiden. | NE-Metalle zuordnen. | Eigenschaften erklaeren.,12
technische-zeichnung,4,1,Technische Zeichnung,Zeichnungen lesen und verstehen,Ansichten und Schnitte erkennen. | Massangaben ablesen. | Werkstueck aus Zeichnung vorstellen.,12
symbole-und-normen,4,2,Symbole und Normen,Symbole und Normen in der TK,"Schweiss-, Oberflaechen- und Toleranzsymbole lesen. | Normenverweise einordnen. | Symbole im Betrieb finden.",12
tabellenbuch,4,3,Tabellenbuch,Tabellenbuch als Werkzeug,Passungen nachschlagen. | Werkstoffwerte finden. | Gewindedaten entnehmen.,12
skizzen-erstellen,4,4,Skizzen erstellen,Technische Skizzen erstellen,Freihandskizze mit Masse. | Schnitt andeuten. | Skizze fuer Uebergabe nutzen.,12
arbeitsplaene-lesen,4,5,Arbeitsplaene lesen,Arbeitsplaene und Fertigungsfolge,Arbeitsplan lesen. | Arbeitsschritte erkennen. | Maschine und Werkzeug zuordnen.,12
produktionsdaten,4,6,Produktionsdaten,Produktionsdaten erfassen,Stueckzahlen dokumentieren. | Ausschuss melden. | Laufzeiten notieren.,12
uebergabedokumente,4,7,Uebergabedokumente,Uebergabedokumente,Pruefprotokoll ausfuellen. | Uebergabe an naechste Station. | Vollstaendigkeit pruefen.,12
technische-kommunikation-im-betrieb,4,8,Technische Kommunikation im Betrieb,Kommunikation im Betrieb,Information kurz und klar geben. | Rueckfragen stellen. | Termine abstimmen.,12
dokumentation,4,9,Dokumentation,Dokumentation in der Fertigung,Aenderungen dokumentieren. | Pruefungen nachvollziehbar halten. | Revisionen erkennen.,12
pruefungsaufgaben-tk,4,10,Pruefungsaufgaben TK,TK pruefungsreif trainieren,Zeichnung lesen. | Symbole deuten. | Arbeitsplan verstehen.,12
arbeitsplanung,5,1,Arbeitsplanung,Vom Auftrag zum Arbeitsplan,Auftrag analysieren. | Ressourcen planen. | Prioritaeten setzen.,12
reihenfolge-der-arbeitsschritte,5,2,Reihenfolge der Arbeitsschritte,Reihenfolge der Arbeitsschritte,Logische Folge einhalten. | Zwischenpruefungen einplanen. | Parallelarbeit vermeiden wo stoerend.,12
werkzeugvorbereitung,5,3,Werkzeugvorbereitung,Werkzeugvorbereitung,Werkzeugliste abarbeiten. | Zustand pruefen. | Fehlende Werkzeuge melden.,12
materialbereitstellung,5,4,Materialbereitstellung,Materialbereitstellung,Material anfordern. | FIFO beachten. | Materialfehler melden.,12
zeitplanung,5,5,Zeitplanung,Zeitplanung in der Schicht,Ruest- und Laufzeit schaetzen. | Puffer fuer Stoerungen. | Prioritaeten kommunizieren.,12
sicherheitscheck-vor-arbeitsbeginn,5,6,Sicherheitscheck vor Arbeitsbeginn,Sicherheitscheck vor Arbeitsbeginn,Maschine freigeben. | Schutzeinrichtungen pruefen. | Not-Halt testen.,12
materialfluss-planen,5,7,Materialfluss planen,Materialfluss planen,Transportwege kennen. | Behaelter und Hubwagen nutzen. | Engpaesse vermeiden.,12
auftragsunterlagen,5,8,Auftragsunterlagen,Auftragsunterlagen fuehren,Ordner digital oder analog. | Status markieren. | Rueckfragen dokumentieren.,12
schnittstellen-im-team,5,9,Schnittstellen im Team,Schnittstellen im Team,Rollen kennen. | Information weitergeben. | Konflikte sachlich loesen.,12
pruefungsaufgaben-planung,5,10,Pruefungsaufgaben Planung,Arbeitsplanung pruefungsreif,Planungsablauf beschreiben. | Zeiten berechnen. | Prioritaeten begruenden.,12
pruefmittel-auswaehlen,6,1,Pruefmittel auswaehlen,Das richtige Pruefmittel waehlen,Pruefmittel zu Merkmal zuordnen. | Genauigkeit vs. Aufwand. | Kalibrierstatus pruefen.,12
messwerte-ablesen,6,3,Messwerte ablesen,Messwerte sicher ablesen,Nonius und Skalen lesen. | Einheiten korrekt. | Parallaxefehler vermeiden.,12
toleranzen-pruefen,6,4,Toleranzen pruefen,Toleranzen pruefen und bewerten,Ist-Mass vs. Soll. | Passung bewerten. | Nicht konform melden.,12
pruefprotokoll,6,5,Pruefprotokoll,Pruefprotokoll fuehren,Pflichtfelder ausfuellen. | Messmittel dokumentieren. | Unterschrift und Datum.,12
messfehler-vermeiden,6,6,Messfehler vermeiden,Messfehler erkennen und vermeiden,Systematische und zufaellige Fehler. | Temperatur und Kippen. | Wiederholmessung.,12
sichtpruefung,6,7,Sichtpruefung,Sichtpruefung als Pruefverfahren,"Oberflaeche, Risse, Grate. | Reinigung vor Pruefung. | Beleuchtung und Kriterien.",12
grenzlehren,6,8,Grenzlehren,Grenzlehren einsetzen,Go und NoGo. | Handhabung. | Verschleiss erkennen.,12
bezugstemperatur,6,9,Bezugstemperatur,Bezugstemperatur bei Laengenmessung,Waermeausdehnung. | 20 Grad Celsius. | Messung nach Abkuehlung.,12
pruefungsaufgaben-messen,6,10,Pruefungsaufgaben Messen,Messen und Pruefen pruefungsreif,Nonius rechnen. | Toleranz bewerten. | Pruefmittel waehlen.,12
messschieber,6,2,Messschieber,"Aufbau, Nonius und normgerechtes Messen nach DIN 862","Die Bauteile eines Messschiebers benennen und ihre Funktion erklaeren. | Einen Nonius mit 0,05 mm und 0,02 mm Ablesung sicher ablesen. | Aussen-, Innen- und Tiefenmass fachgerecht aufnehmen. | Typische Messabweichungen erkennen und vermeiden.",14
manuelle-fertigung,7,1,Manuelle Fertigung,Grundlagen manueller Fertigung,Handwerkzeuge benennen. | Sicherheit bei Handarbeit. | Qualitaet von Anfang an.,12
saegen-und-feilen,7,2,Saegen und Feilen,Saegen und Trennen,Handsaege und Maschinensaege. | Schnittgeschwindigkeit. | Sicherheitsabstand.,12
bohren-und-gewindeschneiden,7,3,Bohren und Gewindeschneiden,Bohren und Gewindeschneiden,Spiralbohrer waehlen. | Drehmoment und Kuehlung. | Gewinde metrisch schneiden.,12
entgraten,7,4,Entgraten,Entgraten und Kanten breaken,"Grate erkennen. | Feile, Schaber, Entgrater. | Verletzungsgefahr reduzieren.",12
werkstueckspannung,7,5,Werkstueckspannung,Werkstueck sicher spannen,"Schraubstock, Spannbacke. | Auflageflaeche. | Deformation vermeiden.",12
spanende-fertigung-grundlagen,7,6,Spanende Fertigung Grundlagen,Spanende Fertigung Grundlagen,Schnittgeschwindigkeit. | Vorschub. | Span und Kuehlung.,12
arbeitsergebnis-pruefen,7,7,Arbeitsergebnis pruefen,Arbeitsergebnis pruefen,"Mass, Winkel, Oberflaeche. | Pruefmittel waehlen. | Nacharbeit planen.",12
werkzeugschaeden,7,8,Werkzeugschaeden,Werkzeugschaeden erkennen,Abgebrochene Schneide. | Verschliss. | Sofort tauschen.,12
metallbearbeitung-hand,7,9,Metallbearbeitung Hand,Metallbearbeitung mit Handwerkzeug,Stahl vs. NE-Metall. | Schnittwinkel. | Oberflaechenfinish.,12
pruefungsaufgaben-fertigung-i,7,10,Pruefungsaufgaben Fertigung I,Manuelle Fertigung pruefungsreif,Werkzeuge zuordnen. | Gewinde berechnen. | Sicherheit begruenden.,12
druckluft-grundlagen,8,1,Druckluft Grundlagen,Druckluft als Antriebsmedium,Pneumatik vs. Hydraulik. | Druck und Volumenstrom. | Sicherheit mit Druckluft.,12
zylinder-und-ventile,8,2,Zylinder und Ventile,Zylinder und Ventile,"Einfach- und Doppelwirkung. | 3/2-, 5/2-Wegeventil. | Betaetigung.",12
wartungseinheit,8,3,Wartungseinheit,Wartungseinheit der Druckluft,"Filter, Regler, Oeler. | Kondenswasser ablassen. | Druck einstellen.",12
pneumatikschaltplan,8,4,Pneumatikschaltplan,Pneumatikschaltplan lesen,Symbole nach ISO 1219. | Anzahl Wege und Stellungen. | Ablauf planen.,12
druck-und-sicherheit,8,5,Druck und Sicherheit,Druck und Sicherheit,Maximaldruck. | Schutzeinrichtungen. | Verletzungsrisiken.,12
pneumatik-wartung,8,6,Pneumatik Wartung,Pneumatik Wartung,Dichtungen pruefen. | Leckagen finden. | Schmiermittel.,12
funktionskontrolle,8,7,Funktionskontrolle,Funktionskontrolle,Endlagen. | Hubzeit. | Betaetigung.,12
stoerungen-pneumatik,8,8,Stoerungen Pneumatik,Stoerungen Pneumatik eingrenzen,Kein Hub. | Langsamer Hub. | Ventil schaltet nicht.,12
bze-pneumatik,8,9,BZE Pneumatik,Praxis aus der ueberbetrieblichen Unterweisung,Schaltplan aufbauen. | Zylinder anschliessen. | Sicherheit in der UeLU.,12
pruefungsaufgaben-pneumatik,8,10,Pruefungsaufgaben Pneumatik,Pneumatik pruefungsreif,Symbole zuordnen. | Zylinderfunktion erklaeren. | Fehlersuche beschreiben.,12
drehmaschine,9,1,Drehmaschine,Drehmaschine bedienen,"Drehachse, Spindel, Reitstock. | Einspannen. | Prozess beobachten.",12
fraesmaschine,9,2,Fraesmaschine,Fraesmaschine bedienen,Werkzeug rotiert. | Tischbewegung. | Aufspannung.,12
schneidstoffe,9,3,Schneidstoffe,Schneidstoffe waehlen,"HSS, HM, Beschichtung. | Werkstoffpaarung. | Standzeit.",12
vorschub-und-drehzahl,9,4,Vorschub und Drehzahl,Vorschub und Drehzahl,n und vf berechnen. | Tabellenbuch. | Oberflaeche und Zeit.,12
kuehlmittel-spanend,9,5,Kuehlmittel spanend,Kuehlmittel beim Spanen,Emulsion vs. Vollsynthetik. | Konzentration. | Spanfoerderung.,12
werkzeugauswahl-spanend,9,6,Werkzeugauswahl spanend,Werkzeugauswahl spanend,Geometrie. | Beschichtung. | Magazinplatz.,12
prozessparameter,9,7,Prozessparameter,Prozessparameter optimieren,Oberflaeche vs. Zeit. | Vibration. | Werkzeugstandzeit.,12
spanabfall,9,8,Spanabfall,Spanabfall handhaben,Spane sammeln. | Scharfkantig. | Recycling.,12
bze-drehen-fraesen,9,9,BZE Drehen/Fraesen,Praxis aus der UeLU,Maschine einrichten. | Erstteil pruefen. | Sicherheit in der UeLU.,12
pruefungsaufgaben-spanend,9,10,Pruefungsaufgaben spanend,Spanende Fertigung pruefungsreif,n und vf berechnen. | Werkzeuge zuordnen. | Sicherheit begruenden.,12
metallgrundlagen,10,1,Metallgrundlagen,Metallgrundlagen in der Fertigung,Eisen/Stahl/NE. | Waermebehandlung. | Anwendung im Betrieb.,12
metallbearbeitung-planen,10,2,Metallbearbeitung planen,Metallbearbeitung planen,Verfahren waehlen. | Werkzeug und Maschine. | Qualitaet einplanen.,12
oberflaechenqualitaet,10,3,Oberflaechenqualitaet,Oberflaechenqualitaet bei Metall,Rauheit. | Grate. | Zeichnungsvorgabe.,12
arbeitsfolge-metall,10,4,Arbeitsfolge Metall,Arbeitsfolge Metall,Rohbearbeitung. | Finish. | Pruefung.,12
werkzeugwahl-metall,10,5,Werkzeugwahl Metall,Werkzeugwahl Metall,HSS vs. HM. | Geometrie. | Standzeit.,12
pruefen-nach-bearbeitung,10,6,Pruefen nach Bearbeitung,Pruefen nach Bearbeitung,"Mass, Form, Oberflaeche. | Erstteil vs. Serie. | Sperre bei n.i.O.",12
grundbildung-metall-bze,10,7,Grundbildung Metall BZE,Metallkurs in der UeLU,Manuelle Uebungen. | Maschinelle Uebungen. | Transfer in den Betrieb.,12
qualitaet-manuell,10,8,Qualitaet manuell,Qualitaet manuell sichern,Schablonen. | Lehren. | Sichtpruefung.,12
sicherheit-metall,10,9,Sicherheit Metall,Sicherheit Metall,"Span, scharfe Kanten. | Schwere Teile. | Heben und Tragen.",12
pruefungsaufgaben-metall,10,10,Pruefungsaufgaben Metall,Metallbearbeitung pruefungsreif,Verfahren zuordnen. | Werkstoff waehlen. | Qualitaet bewerten.,12
materialfluss,11,1,Materialfluss,Materialfluss in der Produktion,Von Lager zur Maschine. | Fertigteil weiter. | Engpaesse.,12
transport-und-lager,11,2,Transport und Lager,Transport und Lager,"Hubwagen, Kran, Foerderer. | Lagerplaetze. | Kennzeichnung.",12
bereitstellung,11,3,Bereitstellung,Bereitstellung am Arbeitsplatz,Just-in-Time. | Umlaufbehaelter. | Vollstaendigkeit.,12
fifo-prinzip,11,4,FIFO-Prinzip,FIFO-Prinzip anwenden,Aeltestes zuerst. | Chargen rueckverfolgen. | Verfallsdatum bei Betriebsstoffen.,12
stoerungen-materialfluss,11,5,Stoerungen Materialfluss,Stoerungen im Materialfluss,Material fehlt. | Falscher Artikel. | Ueberfuellter Platz.,12
schnittstellen-produktion,11,6,Schnittstellen Produktion,Schnittstellen Produktion,Lager-Fertigung. | Fertigung-QS. | Fertigung-Versand.,12
anlagenumfeld,11,7,Anlagenumfeld,Anlagenumfeld ordnen,5S Grundlagen. | Wege frei. | Behaelterplaetze.,12
kommissionierung,11,8,Kommissionierung,Kommissionierung,Teile zusammenstellen. | Liste abarbeiten. | Vollstaendigkeit pruefen.,12
logistik-im-betrieb,11,9,Logistik im Betrieb,Logistik im Betrieb,Interner Transport. | Externer Versand. | Termine.,12
pruefungsaufgaben-materialfluss,11,10,Pruefungsaufgaben Materialfluss,Logistik pruefungsreif,FIFO erklaeren. | Stoerungen loesen. | Schnittstellen beschreiben.,12
zwischenpruefung-theorie,12,1,Zwischenpruefung Theorie,Zwischenpruefung Theorie,Pruefungsbestandteile. | Zeit und Gewichtung. | Lernplan.,12
positionieren-und-vorbereiten,12,2,Positionieren und Vorbereiten,Positionieren und Vorbereiten,Werkstueck einspannen. | Werkzeug bereit. | Unterlagen vollstaendig.,12
einstellen-und-pruefen,12,3,Einstellen und Pruefen,Einstellen und Pruefen,Parameter. | Erstteil. | Protokoll.,12
technische-unterlagen-zp,12,4,Technische Unterlagen ZP,Technische Unterlagen ZP,Zeichnung lesen. | Arbeitsplan. | Pruefplan.,12
sicherheit-zp,12,5,Sicherheit ZP,Sicherheit ZP,PSA. | Maschinenfreigabe. | Not-Halt.,12
praktische-zp-situationen,12,6,Praktische ZP-Situationen,Praktische ZP-Situationen,Zeitdruck. | Unbekannte Maschine. | Nachfragen erlaubt?.,12
zeitmanagement-zp,12,7,Zeitmanagement ZP,Zeitmanagement ZP,Zeit pro Aufgabe. | Puffer. | Nicht haengen bleiben.,12
wiederholung-monate-1-11,12,8,Wiederholung Monate 1-11,Wiederholung Monate 1-11,Schwachstellen. | Checkpoints. | Glossare.,12
bze-pvzp,12,9,BZE PVZP,Vorbereitung in der UeLU,Simulation. | Feedback. | Praxisnahe Aufgaben.,12
pruefungsaufgaben-zp,12,10,Pruefungsaufgaben ZP,Finale ZP-Vorbereitung,PAL ueben. | Offene Aufgaben. | Pruefungsordnung.,12
werkstoffeigenschaften-vertiefen,13,1,Werkstoffeigenschaften vertiefen,Vertiefung Werkstoffeigenschaften,Festigkeit und Haerte unterscheiden. | Temperaturverhalten erklaeren. | Werkstofffehler erkennen.,12
pruefungsaufgaben-werkstoff-ii,13,2,Pruefungsaufgaben Werkstoff II,Pruefungsvorbereitung Werkstoffe II,NE-Metalle zuordnen. | Kunststoffverhalten erklaeren. | Pruefungsfragen loesen.,12
produktionsplanung,14,1,Produktionsplanung,Produktionsplanung im Betrieb,Auftraege priorisieren. | Maschinenbelegung verstehen. | Termine abstimmen.,12
pruefungsaufgaben-planung-ii,14,2,Pruefungsaufgaben Planung II,Pruefungsaufgaben Planung II,Terminplanung. | Schnittstellen. | Rechenaufgaben.,12
fuegen-und-trennen,15,1,Fuegen und Trennen,Fuegen und Trennen,"Schweissen, Kleben, Nieten. | Trennverfahren. | Verfahren waehlen.",12
pruefungsaufgaben-fertigung-ii,15,2,Pruefungsaufgaben Fertigung II,Pruefungsaufgaben Fertigung II,Verfahren zuordnen. | Werkzeug waehlen. | Qualitaet sichern.,12
mass--und-formtoleranz,16,1,Mass- und Formtoleranz,Mass- und Formtoleranz,ISO-Toleranzsystem. | IT-Grade. | Passungen.,12
pruefungsaufgaben-qualitaet,16,2,Pruefungsaufgaben Qualitaet,Pruefungsaufgaben Qualitaet,Toleranz pruefen. | Pruefplan. | Freigabe.,12
sensor-und-aktor,17,1,Sensor und Aktor,Sensor und Aktor,Sensorarten. | Aktoren. | Signalkette.,12
pruefungsaufgaben-steuerung,17,2,Pruefungsaufgaben Steuerung,Pruefungsaufgaben Steuerung,Regelkreis. | Not-Halt. | Inbetriebnahme.,12
ruestplan,18,1,Ruestplan,Ruestplan lesen und umsetzen,Werkzeugliste. | Offset. | Aufspannung.,12
pruefungsaufgaben-ruesten,18,2,Pruefungsaufgaben Ruesten,Pruefungsaufgaben Ruesten,Ruestzeit. | Probelauf. | Freigabe.,12
soll-ist-vergleich,19,1,Soll-Ist-Vergleich,Soll-Ist-Vergleich,Sollwerte. | Istwerte. | Abweichung.,12
pruefungsaufgaben-prozess,19,2,Pruefungsaufgaben Prozess,Pruefungsaufgaben Prozess,Parameter einstellen. | Prozessdaten. | Stoerungen.,12
stoerungsart-erkennen,20,1,Stoerungsart erkennen,Stoerungsart erkennen,Mechanisch. | Pneumatisch. | Steuerung. | Material.,12
pruefungsaufgaben-stoerung,20,2,Pruefungsaufgaben Stoerung,Pruefungsaufgaben Stoerung,Systematische Suche. | Eskalation. | Wiederinbetriebnahme.,12
schmierung,21,1,Schmierung,Schmierung und Wartung,Schmierstellen. | Intervalle. | Schmierstoffe.,12
pruefungsaufgaben-wartung,21,2,Pruefungsaufgaben Wartung,Pruefungsaufgaben Wartung,Verschleissteile. | Filter. | Inbetriebnahme nach Wartung.,12
qualitaetsmanagement,22,1,Qualitaetsmanagement,Qualitaetsmanagement,PDCA. | Korrekturmassnahme. | Dokumentation.,12
pruefungsaufgaben-qm,22,2,Pruefungsaufgaben QM,Pruefungsaufgaben QM,Kunststofftechnik. | Prozessparameter. | Pruefplan QM.,12
blechbearbeitung,23,1,Blechbearbeitung,Blechbearbeitung,Schneiden. | Kanten. | Werkzeuge.,12
pruefungsaufgaben-blech,23,2,Pruefungsaufgaben Blech,Pruefungsaufgaben Blech,Blechkurs BZE. | Praxisfall. | Qualitaet Blech.,12
abschlusspruefung-theorie,24,1,Abschlusspruefung Theorie,Abschlusspruefung Theorie,AP-Teile. | Gewichtung. | Vorbereitung Jahr 2.,12
pruefungsaufgaben-ap,24,2,Pruefungsaufgaben AP,Pruefungsaufgaben AP,PAL AP. | Zeitmanagement. | Pruefungsordnung.,12
